"TIME","REP_AIRP","TRA_INFR","Value","Flag and Footnotes"
"2008","BRUSSELS airport","Airport runways","3",""
"2008","BRUSSELS airport","Check-in facilities","120",""
"2008","BRUSSELS airport","Check-in facilities - conventional desks",":",""
"2008","BRUSSELS airport","Check-in facilities - self service kiosks",":",""
"2008","BRUSSELS airport","Passenger gates","98",""
"2008","CHARLEROI/BRUSSELS SOUTH airport","Airport runways",":",""
"2008","CHARLEROI/BRUSSELS SOUTH airport","Check-in facilities",":",""
"2008","CHARLEROI/BRUSSELS SOUTH airport","Check-in facilities - conventional desks",":",""
"2008","CHARLEROI/BRUSSELS SOUTH airport","Check-in facilities - self service kiosks",":",""
"2008","CHARLEROI/BRUSSELS SOUTH airport","Passenger gates",":",""
"2008","SOFIA airport","Airport runways","1",""
"2008","SOFIA airport","Check-in facilities","53",""
"2008","SOFIA airport","Check-in facilities - conventional desks","53",""
"2008","SOFIA airport","Check-in facilities - self service kiosks","0",""
"2008","SOFIA airport","Passenger gates","18",""
"2008","PRAHA/RUZYNE airport","Airport runways","2",""
"2008","PRAHA/RUZYNE airport","Check-in facilities","129",""
"2008","PRAHA/RUZYNE airport","Check-in facilities - conventional desks","122",""
"2008","PRAHA/RUZYNE airport","Check-in facilities - self service kiosks","7",""
"2008","PRAHA/RUZYNE airport","Passenger gates","53",""
"2008","BILLUND airport","Airport runways","1",""
"2008","BILLUND airport","Check-in facilities","19",""
"2008","BILLUND airport","Check-in facilities - conventional desks",":",""
"2008","BILLUND airport","Check-in facilities - self service kiosks",":",""
"2008","BILLUND airport","Passenger gates","13",""
"2008","KOBENHAVN/KASTRUP airport","Airport runways","3",""
"2008","KOBENHAVN/KASTRUP airport","Check-in facilities","80",""
"2008","KOBENHAVN/KASTRUP airport","Check-in facilities - conventional desks",":",""
"2008","KOBENHAVN/KASTRUP airport","Check-in facilities - self service kiosks",":",""
"2008","KOBENHAVN/KASTRUP airport","Passenger gates","90",""
"2008","BERLIN-SCHOENEFELD airport","Airport runways","1",""
"2008","BERLIN-SCHOENEFELD airport","Check-in facilities","52",""
"2008","BERLIN-SCHOENEFELD airport","Check-in facilities - conventional desks",":",""
"2008","BERLIN-SCHOENEFELD airport","Check-in facilities - self service kiosks",":",""
"2008","BERLIN-SCHOENEFELD airport","Passenger gates","13",""
"2008","DRESDEN airport","Airport runways","1",""
"2008","DRESDEN airport","Check-in facilities","24",""
"2008","DRESDEN airport","Check-in facilities - conventional desks",":",""
"2008","DRESDEN airport","Check-in facilities - self service kiosks",":",""
"2008","DRESDEN airport","Passenger gates","12",""
"2008","FRANKFURT/MAIN airport","Airport runways","3",""
"2008","FRANKFURT/MAIN airport","Check-in facilities","481",""
"2008","FRANKFURT/MAIN airport","Check-in facilities - conventional desks",":",""
"2008","FRANKFURT/MAIN airport","Check-in facilities - self service kiosks",":",""
"2008","FRANKFURT/MAIN airport","Passenger gates","147",""
"2008","MUENSTER/OSNABRUECK airport","Airport runways","1",""
"2008","MUENSTER/OSNABRUECK airport","Check-in facilities","38",""
"2008","MUENSTER/OSNABRUECK airport","Check-in facilities - conventional desks",":",""
"2008","MUENSTER/OSNABRUECK airport","Check-in facilities - self service kiosks",":",""
"2008","MUENSTER/OSNABRUECK airport","Passenger gates","18",""
"2008","HAMBURG airport","Airport runways","2",""
"2008","HAMBURG airport","Check-in facilities","120",""
"2008","HAMBURG airport","Check-in facilities - conventional desks",":",""
"2008","HAMBURG airport","Check-in facilities - self service kiosks",":",""
"2008","HAMBURG airport","Passenger gates","55",""
"2008","KOELN/BONN airport","Airport runways","3",""
"2008","KOELN/BONN airport","Check-in facilities","80",""
"2008","KOELN/BONN airport","Check-in facilities - conventional desks",":",""
"2008","KOELN/BONN airport","Check-in facilities - self service kiosks",":",""
"2008","KOELN/BONN airport","Passenger gates","55",""
"2008","DUESSELDORF airport","Airport runways","3",""
"2008","DUESSELDORF airport","Check-in facilities",":",""
"2008","DUESSELDORF airport","Check-in facilities - conventional desks",":",""
"2008","DUESSELDORF airport","Check-in facilities - self service kiosks",":",""
"2008","DUESSELDORF airport","Passenger gates",":",""
"2008","MUENCHEN airport","Airport runways","2",""
"2008","MUENCHEN airport","Check-in facilities","202",""
"2008","MUENCHEN airport","Check-in facilities - conventional desks",":",""
"2008","MUENCHEN airport","Check-in facilities - self service kiosks",":",""
"2008","MUENCHEN airport","Passenger gates","142",""
"2008","NUERNBERG airport","Airport runways","1",""
"2008","NUERNBERG airport","Check-in facilities","41",""
"2008","NUERNBERG airport","Check-in facilities - conventional desks",":",""
"2008","NUERNBERG airport","Check-in facilities - self service kiosks",":",""
"2008","NUERNBERG airport","Passenger gates","35",""
"2008","LEIPZIG/HALLE airport","Airport runways","2",""
"2008","LEIPZIG/HALLE airport","Check-in facilities","40",""
"2008","LEIPZIG/HALLE airport","Check-in facilities - conventional desks",":",""
"2008","LEIPZIG/HALLE airport","Check-in facilities - self service kiosks",":",""
"2008","LEIPZIG/HALLE airport","Passenger gates","11",""
"2008","STUTTGART airport","Airport runways","1",""
"2008","STUTTGART airport","Check-in facilities","78",""
"2008","STUTTGART airport","Check-in facilities - conventional desks",":",""
"2008","STUTTGART airport","Check-in facilities - self service kiosks",":",""
"2008","STUTTGART airport","Passenger gates","38",""
"2008","BERLIN-TEGEL airport","Airport runways","2",""
"2008","BERLIN-TEGEL airport","Check-in facilities","73",""
"2008","BERLIN-TEGEL airport","Check-in facilities - conventional desks",":",""
"2008","BERLIN-TEGEL airport","Check-in facilities - self service kiosks",":",""
"2008","BERLIN-TEGEL airport","Passenger gates","17",""
"2008","HANNOVER airport","Airport runways","3",""
"2008","HANNOVER airport","Check-in facilities",":",""
"2008","HANNOVER airport","Check-in facilities - conventional desks",":",""
"2008","HANNOVER airport","Check-in facilities - self service kiosks",":",""
"2008","HANNOVER airport","Passenger gates","13",""
"2008","BREMEN airport","Airport runways","2",""
"2008","BREMEN airport","Check-in facilities",":",""
"2008","BREMEN airport","Check-in facilities - conventional desks",":",""
"2008","BREMEN airport","Check-in facilities - self service kiosks",":",""
"2008","BREMEN airport","Passenger gates",":",""
"2008","LENNART MERI TALLINN airport","Airport runways","1",""
"2008","LENNART MERI TALLINN airport","Check-in facilities","33",""
"2008","LENNART MERI TALLINN airport","Check-in facilities - conventional desks","27",""
"2008","LENNART MERI TALLINN airport","Check-in facilities - self service kiosks","6",""
"2008","LENNART MERI TALLINN airport","Passenger gates","14",""
"2008","CORK airport","Airport runways","2",""
"2008","CORK airport","Check-in facilities","36",""
"2008","CORK airport","Check-in facilities - conventional desks","30",""
"2008","CORK airport","Check-in facilities - self service kiosks","6",""
"2008","CORK airport","Passenger gates","8",""
"2008","DUBLIN airport","Airport runways","3",""
"2008","DUBLIN airport","Check-in facilities","217",""
"2008","DUBLIN airport","Check-in facilities - conventional desks","164",""
"2008","DUBLIN airport","Check-in facilities - self service kiosks","53",""
"2008","DUBLIN airport","Passenger gates","54",""
"2008","KERRY airport","Airport runways",":",""
"2008","KERRY airport","Check-in facilities",":",""
"2008","KERRY airport","Check-in facilities - conventional desks",":",""
"2008","KERRY airport","Check-in facilities - self service kiosks",":",""
"2008","KERRY airport","Passenger gates",":",""
"2008","SHANNON airport","Airport runways","1",""
"2008","SHANNON airport","Check-in facilities","43",""
"2008","SHANNON airport","Check-in facilities - conventional desks","41",""
"2008","SHANNON airport","Check-in facilities - self service kiosks","2",""
"2008","SHANNON airport","Passenger gates","14",""
"2008","ATHINAI/ELEFTHERIOS VENIZELOS airport","Airport runways","2",""
"2008","ATHINAI/ELEFTHERIOS VENIZELOS airport","Check-in facilities","168",""
"2008","ATHINAI/ELEFTHERIOS VENIZELOS airport","Check-in facilities - conventional desks","144",""
"2008","ATHINAI/ELEFTHERIOS VENIZELOS airport","Check-in facilities - self service kiosks","24",""
"2008","ATHINAI/ELEFTHERIOS VENIZELOS airport","Passenger gates","55",""
"2008","ELEFSIS airport","Airport runways",":",""
"2008","ELEFSIS airport","Check-in facilities",":",""
"2008","ELEFSIS airport","Check-in facilities - conventional desks",":",""
"2008","ELEFSIS airport","Check-in facilities - self service kiosks",":",""
"2008","ELEFSIS airport","Passenger gates",":",""
"2008","IRAKLION/NIKOS KAZANTZAKIS airport","Airport runways","2",""
"2008","IRAKLION/NIKOS KAZANTZAKIS airport","Check-in facilities","35",""
"2008","IRAKLION/NIKOS KAZANTZAKIS airport","Check-in facilities - conventional desks",":",""
"2008","IRAKLION/NIKOS KAZANTZAKIS airport","Check-in facilities - self service kiosks",":",""
"2008","IRAKLION/NIKOS KAZANTZAKIS airport","Passenger gates","10",""
"2008","KOS/IPPOKRATIS airport","Airport runways","1",""
"2008","KOS/IPPOKRATIS airport","Check-in facilities","12",""
"2008","KOS/IPPOKRATIS airport","Check-in facilities - conventional desks",":",""
"2008","KOS/IPPOKRATIS airport","Check-in facilities - self service kiosks",":",""
"2008","KOS/IPPOKRATIS airport","Passenger gates","5",""
"2008","KERKIRA/IOANNIS KAPODISTRIAS airport","Airport runways","1",""
"2008","KERKIRA/IOANNIS KAPODISTRIAS airport","Check-in facilities","20",""
"2008","KERKIRA/IOANNIS KAPODISTRIAS airport","Check-in facilities - conventional desks",":",""
"2008","KERKIRA/IOANNIS KAPODISTRIAS airport","Check-in facilities - self service kiosks",":",""
"2008","KERKIRA/IOANNIS KAPODISTRIAS airport","Passenger gates","6",""
"2008","RODOS/DIAGORAS airport","Airport runways","1",""
"2008","RODOS/DIAGORAS airport","Check-in facilities","41",""
"2008","RODOS/DIAGORAS airport","Check-in facilities - conventional desks","40",""
"2008","RODOS/DIAGORAS airport","Check-in facilities - self service kiosks","1",""
"2008","RODOS/DIAGORAS airport","Passenger gates","16",""
"2008","THESSALONIKI/MAKEDONIA airport","Airport runways","2",""
"2008","THESSALONIKI/MAKEDONIA airport","Check-in facilities","27",""
"2008","THESSALONIKI/MAKEDONIA airport","Check-in facilities - conventional desks",":",""
"2008","THESSALONIKI/MAKEDONIA airport","Check-in facilities - self service kiosks",":",""
"2008","THESSALONIKI/MAKEDONIA airport","Passenger gates","18",""
"2008","FUERTEVENTURA airport","Airport runways","2",""
"2008","FUERTEVENTURA airport","Check-in facilities","33",""
"2008","FUERTEVENTURA airport","Check-in facilities - conventional desks",":",""
"2008","FUERTEVENTURA airport","Check-in facilities - self service kiosks",":",""
"2008","FUERTEVENTURA airport","Passenger gates","10",""
"2008","GRAN CANARIA airport","Airport runways","2",""
"2008","GRAN CANARIA airport","Check-in facilities",":",""
"2008","GRAN CANARIA airport","Check-in facilities - conventional desks",":",""
"2008","GRAN CANARIA airport","Check-in facilities - self service kiosks",":",""
"2008","GRAN CANARIA airport","Passenger gates",":",""
"2008","LANZAROTE airport","Airport runways","1",""
"2008","LANZAROTE airport","Check-in facilities","49",""
"2008","LANZAROTE airport","Check-in facilities - conventional desks",":",""
"2008","LANZAROTE airport","Check-in facilities - self service kiosks",":",""
"2008","LANZAROTE airport","Passenger gates","16",""
"2008","TENERIFE SUR/REINA SOFIA airport","Airport runways","1",""
"2008","TENERIFE SUR/REINA SOFIA airport","Check-in facilities",":",""
"2008","TENERIFE SUR/REINA SOFIA airport","Check-in facilities - conventional desks",":",""
"2008","TENERIFE SUR/REINA SOFIA airport","Check-in facilities - self service kiosks",":",""
"2008","TENERIFE SUR/REINA SOFIA airport","Passenger gates",":",""
"2008","TENERIFE NORTE airport","Airport runways","1",""
"2008","TENERIFE NORTE airport","Check-in facilities",":",""
"2008","TENERIFE NORTE airport","Check-in facilities - conventional desks",":",""
"2008","TENERIFE NORTE airport","Check-in facilities - self service kiosks",":",""
"2008","TENERIFE NORTE airport","Passenger gates",":",""
"2008","ALICANTE airport","Airport runways","1",""
"2008","ALICANTE airport","Check-in facilities","38",""
"2008","ALICANTE airport","Check-in facilities - conventional desks",":",""
"2008","ALICANTE airport","Check-in facilities - self service kiosks",":",""
"2008","ALICANTE airport","Passenger gates","11",""
"2008","BILBAO airport","Airport runways","2",""
"2008","BILBAO airport","Check-in facilities","15",""
"2008","BILBAO airport","Check-in facilities - conventional desks",":",""
"2008","BILBAO airport","Check-in facilities - self service kiosks",":",""
"2008","BILBAO airport","Passenger gates","4",""
"2008","BARCELONA/EL PRAT airport","Airport runways","3",""
"2008","BARCELONA/EL PRAT airport","Check-in facilities","133",""
"2008","BARCELONA/EL PRAT airport","Check-in facilities - conventional desks",":",""
"2008","BARCELONA/EL PRAT airport","Check-in facilities - self service kiosks",":",""
"2008","BARCELONA/EL PRAT airport","Passenger gates","63",""
"2008","IBIZA airport","Airport runways","1",""
"2008","IBIZA airport","Check-in facilities",":",""
"2008","IBIZA airport","Check-in facilities - conventional desks",":",""
"2008","IBIZA airport","Check-in facilities - self service kiosks",":",""
"2008","IBIZA airport","Passenger gates",":",""
"2008","ADOLFO SUAREZ MADRID-BARAJAS airport","Airport runways","4",""
"2008","ADOLFO SUAREZ MADRID-BARAJAS airport","Check-in facilities",":",""
"2008","ADOLFO SUAREZ MADRID-BARAJAS airport","Check-in facilities - conventional desks",":",""
"2008","ADOLFO SUAREZ MADRID-BARAJAS airport","Check-in facilities - self service kiosks",":",""
"2008","ADOLFO SUAREZ MADRID-BARAJAS airport","Passenger gates",":",""
"2008","MALAGA/COSTA DEL SOL airport","Airport runways","1",""
"2008","MALAGA/COSTA DEL SOL airport","Check-in facilities","60",""
"2008","MALAGA/COSTA DEL SOL airport","Check-in facilities - conventional desks",":",""
"2008","MALAGA/COSTA DEL SOL airport","Check-in facilities - self service kiosks",":",""
"2008","MALAGA/COSTA DEL SOL airport","Passenger gates","29",""
"2008","MENORCA airport","Airport runways","2",""
"2008","MENORCA airport","Check-in facilities","21",""
"2008","MENORCA airport","Check-in facilities - conventional desks",":",""
"2008","MENORCA airport","Check-in facilities - self service kiosks",":",""
"2008","MENORCA airport","Passenger gates","11",""
"2008","PALMA DE MALLORCA airport","Airport runways","2",""
"2008","PALMA DE MALLORCA airport","Check-in facilities","204",""
"2008","PALMA DE MALLORCA airport","Check-in facilities - conventional desks",":",""
"2008","PALMA DE MALLORCA airport","Check-in facilities - self service kiosks",":",""
"2008","PALMA DE MALLORCA airport","Passenger gates","68",""
"2008","VALENCIA airport","Airport runways","2",""
"2008","VALENCIA airport","Check-in facilities",":",""
"2008","VALENCIA airport","Check-in facilities - conventional desks",":",""
"2008","VALENCIA airport","Check-in facilities - self service kiosks",":",""
"2008","VALENCIA airport","Passenger gates",":",""
"2008","SEVILLA airport","Airport runways","1",""
"2008","SEVILLA airport","Check-in facilities","32",""
"2008","SEVILLA airport","Check-in facilities - conventional desks",":",""
"2008","SEVILLA airport","Check-in facilities - self service kiosks",":",""
"2008","SEVILLA airport","Passenger gates","8",""
"2008","LA REUNION-ROLAND GARROS airport","Airport runways","2",""
"2008","LA REUNION-ROLAND GARROS airport","Check-in facilities","21",""
"2008","LA REUNION-ROLAND GARROS airport","Check-in facilities - conventional desks",":",""
"2008","LA REUNION-ROLAND GARROS airport","Check-in facilities - self service kiosks",":",""
"2008","LA REUNION-ROLAND GARROS airport","Passenger gates","4",""
"2008","BORDEAUX-MERIGNAC airport","Airport runways","1",""
"2008","BORDEAUX-MERIGNAC airport","Check-in facilities","36",""
"2008","BORDEAUX-MERIGNAC airport","Check-in facilities - conventional desks",":",""
"2008","BORDEAUX-MERIGNAC airport","Check-in facilities - self service kiosks",":",""
"2008","BORDEAUX-MERIGNAC airport","Passenger gates","25",""
"2008","TOULOUSE/BLAGNAC airport","Airport runways","2",""
"2008","TOULOUSE/BLAGNAC airport","Check-in facilities",":",""
"2008","TOULOUSE/BLAGNAC airport","Check-in facilities - conventional desks",":",""
"2008","TOULOUSE/BLAGNAC airport","Check-in facilities - self service kiosks",":",""
"2008","TOULOUSE/BLAGNAC airport","Passenger gates",":",""
"2008","LYON SAINT-EXUPERY airport","Airport runways",":",""
"2008","LYON SAINT-EXUPERY airport","Check-in facilities",":",""
"2008","LYON SAINT-EXUPERY airport","Check-in facilities - conventional desks",":",""
"2008","LYON SAINT-EXUPERY airport","Check-in facilities - self service kiosks",":",""
"2008","LYON SAINT-EXUPERY airport","Passenger gates",":",""
"2008","MARSEILLE-PROVENCE airport","Airport runways","2",""
"2008","MARSEILLE-PROVENCE airport","Check-in facilities","95",""
"2008","MARSEILLE-PROVENCE airport","Check-in facilities - conventional desks","95",""
"2008","MARSEILLE-PROVENCE airport","Check-in facilities - self service kiosks","20",""
"2008","MARSEILLE-PROVENCE airport","Passenger gates","36",""
"2008","NICE-COTE D AZUR airport","Airport runways","2",""
"2008","NICE-COTE D AZUR airport","Check-in facilities",":",""
"2008","NICE-COTE D AZUR airport","Check-in facilities - conventional desks",":",""
"2008","NICE-COTE D AZUR airport","Check-in facilities - self service kiosks",":",""
"2008","NICE-COTE D AZUR airport","Passenger gates",":",""
"2008","MONTPELLIER MEDITERRANEE airport","Airport runways","2",""
"2008","MONTPELLIER MEDITERRANEE airport","Check-in facilities",":",""
"2008","MONTPELLIER MEDITERRANEE airport","Check-in facilities - conventional desks",":",""
"2008","MONTPELLIER MEDITERRANEE airport","Check-in facilities - self service kiosks",":",""
"2008","MONTPELLIER MEDITERRANEE airport","Passenger gates",":",""
"2008","PARIS-CHARLES DE GAULLE airport","Airport runways","4",""
"2008","PARIS-CHARLES DE GAULLE airport","Check-in facilities","420",""
"2008","PARIS-CHARLES DE GAULLE airport","Check-in facilities - conventional desks",":",""
"2008","PARIS-CHARLES DE GAULLE airport","Check-in facilities - self service kiosks",":",""
"2008","PARIS-CHARLES DE GAULLE airport","Passenger gates","95",""
"2008","PARIS-ORLY airport","Airport runways","3",""
"2008","PARIS-ORLY airport","Check-in facilities","220",""
"2008","PARIS-ORLY airport","Check-in facilities - conventional desks",":",""
"2008","PARIS-ORLY airport","Check-in facilities - self service kiosks",":",""
"2008","PARIS-ORLY airport","Passenger gates","72",""
"2008","NANTES ATLANTIQUE airport","Airport runways","1",""
"2008","NANTES ATLANTIQUE airport","Check-in facilities","44",""
"2008","NANTES ATLANTIQUE airport","Check-in facilities - conventional desks","34",""
"2008","NANTES ATLANTIQUE airport","Check-in facilities - self service kiosks","10",""
"2008","NANTES ATLANTIQUE airport","Passenger gates","21",""
"2008","BALE-MULHOUSE airport","Airport runways","2",""
"2008","BALE-MULHOUSE airport","Check-in facilities",":",""
"2008","BALE-MULHOUSE airport","Check-in facilities - conventional desks",":",""
"2008","BALE-MULHOUSE airport","Check-in facilities - self service kiosks",":",""
"2008","BALE-MULHOUSE airport","Passenger gates",":",""
"2008","STRASBOURG-ENTZHEIM airport","Airport runways","1",""
"2008","STRASBOURG-ENTZHEIM airport","Check-in facilities","23",""
"2008","STRASBOURG-ENTZHEIM airport","Check-in facilities - conventional desks",":",""
"2008","STRASBOURG-ENTZHEIM airport","Check-in facilities - self service kiosks",":",""
"2008","STRASBOURG-ENTZHEIM airport","Passenger gates","12",""
"2008","AIME CESAIRE/MARTINIQUE airport","Airport runways",":",""
"2008","AIME CESAIRE/MARTINIQUE airport","Check-in facilities",":",""
"2008","AIME CESAIRE/MARTINIQUE airport","Check-in facilities - conventional desks",":",""
"2008","AIME CESAIRE/MARTINIQUE airport","Check-in facilities - self service kiosks",":",""
"2008","AIME CESAIRE/MARTINIQUE airport","Passenger gates","6",""
"2008","POINTE-A-PITRE/LE RAIZET/GUADELOUPE airport","Airport runways","1",""
"2008","POINTE-A-PITRE/LE RAIZET/GUADELOUPE airport","Check-in facilities","42",""
"2008","POINTE-A-PITRE/LE RAIZET/GUADELOUPE airport","Check-in facilities - conventional desks",":",""
"2008","POINTE-A-PITRE/LE RAIZET/GUADELOUPE airport","Check-in facilities - self service kiosks",":",""
"2008","POINTE-A-PITRE/LE RAIZET/GUADELOUPE airport","Passenger gates","8",""
"2008","DUBROVNIK/CILIPI airport","Airport runways","1",""
"2008","DUBROVNIK/CILIPI airport","Check-in facilities","18",""
"2008","DUBROVNIK/CILIPI airport","Check-in facilities - conventional desks","18",""
"2008","DUBROVNIK/CILIPI airport","Check-in facilities - self service kiosks",":",""
"2008","DUBROVNIK/CILIPI airport","Passenger gates","8",""
"2008","PULA airport","Airport runways","1",""
"2008","PULA airport","Check-in facilities","15",""
"2008","PULA airport","Check-in facilities - conventional desks","15",""
"2008","PULA airport","Check-in facilities - self service kiosks",":",""
"2008","PULA airport","Passenger gates","5",""
"2008","RIJEKA/KRK airport","Airport runways","1",""
"2008","RIJEKA/KRK airport","Check-in facilities","5",""
"2008","RIJEKA/KRK airport","Check-in facilities - conventional desks","5",""
"2008","RIJEKA/KRK airport","Check-in facilities - self service kiosks",":",""
"2008","RIJEKA/KRK airport","Passenger gates","5",""
"2008","SPLIT/KASTELA airport","Airport runways","1",""
"2008","SPLIT/KASTELA airport","Check-in facilities","25",""
"2008","SPLIT/KASTELA airport","Check-in facilities - conventional desks","22",""
"2008","SPLIT/KASTELA airport","Check-in facilities - self service kiosks","3",""
"2008","SPLIT/KASTELA airport","Passenger gates","8",""
"2008","ZAGREB/FRANJO TUDJMAN airport","Airport runways","1",""
"2008","ZAGREB/FRANJO TUDJMAN airport","Check-in facilities","17",""
"2008","ZAGREB/FRANJO TUDJMAN airport","Check-in facilities - conventional desks","17",""
"2008","ZAGREB/FRANJO TUDJMAN airport","Check-in facilities - self service kiosks",":",""
"2008","ZAGREB/FRANJO TUDJMAN airport","Passenger gates","13",""
"2008","ZADAR/ZEMUNIK airport","Airport runways","1",""
"2008","ZADAR/ZEMUNIK airport","Check-in facilities","9",""
"2008","ZADAR/ZEMUNIK airport","Check-in facilities - conventional desks","9",""
"2008","ZADAR/ZEMUNIK airport","Check-in facilities - self service kiosks",":",""
"2008","ZADAR/ZEMUNIK airport","Passenger gates","3",""
"2008","BARI/PALESE airport","Airport runways",":",""
"2008","BARI/PALESE airport","Check-in facilities",":",""
"2008","BARI/PALESE airport","Check-in facilities - conventional desks",":",""
"2008","BARI/PALESE airport","Check-in facilities - self service kiosks",":",""
"2008","BARI/PALESE airport","Passenger gates",":",""
"2008","BRINDISI/CASALE airport","Airport runways",":",""
"2008","BRINDISI/CASALE airport","Check-in facilities",":",""
"2008","BRINDISI/CASALE airport","Check-in facilities - conventional desks",":",""
"2008","BRINDISI/CASALE airport","Check-in facilities - self service kiosks",":",""
"2008","BRINDISI/CASALE airport","Passenger gates",":",""
"2008","LAMEZIA TERME airport","Airport runways",":",""
"2008","LAMEZIA TERME airport","Check-in facilities",":",""
"2008","LAMEZIA TERME airport","Check-in facilities - conventional desks",":",""
"2008","LAMEZIA TERME airport","Check-in facilities - self service kiosks",":",""
"2008","LAMEZIA TERME airport","Passenger gates",":",""
"2008","CATANIA/FONTANAROSSA airport","Airport runways","1",""
"2008","CATANIA/FONTANAROSSA airport","Check-in facilities","44",""
"2008","CATANIA/FONTANAROSSA airport","Check-in facilities - conventional desks",":",""
"2008","CATANIA/FONTANAROSSA airport","Check-in facilities - self service kiosks",":",""
"2008","CATANIA/FONTANAROSSA airport","Passenger gates","20",""
"2008","PALERMO/PUNTA RAISI airport","Airport runways","2",""
"2008","PALERMO/PUNTA RAISI airport","Check-in facilities","3",""
"2008","PALERMO/PUNTA RAISI airport","Check-in facilities - conventional desks",":",""
"2008","PALERMO/PUNTA RAISI airport","Check-in facilities - self service kiosks",":",""
"2008","PALERMO/PUNTA RAISI airport","Passenger gates","20",""
"2008","CAGLIARI/ELMAS airport","Airport runways","2",""
"2008","CAGLIARI/ELMAS airport","Check-in facilities","41",""
"2008","CAGLIARI/ELMAS airport","Check-in facilities - conventional desks",":",""
"2008","CAGLIARI/ELMAS airport","Check-in facilities - self service kiosks",":",""
"2008","CAGLIARI/ELMAS airport","Passenger gates","6",""
"2008","OLBIA/COSTA SMERALDA airport","Airport runways",":",""
"2008","OLBIA/COSTA SMERALDA airport","Check-in facilities",":",""
"2008","OLBIA/COSTA SMERALDA airport","Check-in facilities - conventional desks",":",""
"2008","OLBIA/COSTA SMERALDA airport","Check-in facilities - self service kiosks",":",""
"2008","OLBIA/COSTA SMERALDA airport","Passenger gates",":",""
"2008","MILANO/MALPENSA airport","Airport runways","2",""
"2008","MILANO/MALPENSA airport","Check-in facilities","226",""
"2008","MILANO/MALPENSA airport","Check-in facilities - conventional desks",":",""
"2008","MILANO/MALPENSA airport","Check-in facilities - self service kiosks",":",""
"2008","MILANO/MALPENSA airport","Passenger gates","85",""
"2008","BERGAMO/ORIO AL SERIO airport","Airport runways","2",""
"2008","BERGAMO/ORIO AL SERIO airport","Check-in facilities","26",""
"2008","BERGAMO/ORIO AL SERIO airport","Check-in facilities - conventional desks",":",""
"2008","BERGAMO/ORIO AL SERIO airport","Check-in facilities - self service kiosks",":",""
"2008","BERGAMO/ORIO AL SERIO airport","Passenger gates","12",""
"2008","TORINO/CASELLE airport","Airport runways","1",""
"2008","TORINO/CASELLE airport","Check-in facilities","60",""
"2008","TORINO/CASELLE airport","Check-in facilities - conventional desks",":",""
"2008","TORINO/CASELLE airport","Check-in facilities - self service kiosks",":",""
"2008","TORINO/CASELLE airport","Passenger gates","12",""
"2008","MILANO/LINATE airport","Airport runways","1",""
"2008","MILANO/LINATE airport","Check-in facilities","71",""
"2008","MILANO/LINATE airport","Check-in facilities - conventional desks",":",""
"2008","MILANO/LINATE airport","Check-in facilities - self service kiosks",":",""
"2008","MILANO/LINATE airport","Passenger gates","24",""
"2008","BOLOGNA/BORGO PANIGALE airport","Airport runways","1",""
"2008","BOLOGNA/BORGO PANIGALE airport","Check-in facilities","57",""
"2008","BOLOGNA/BORGO PANIGALE airport","Check-in facilities - conventional desks",":",""
"2008","BOLOGNA/BORGO PANIGALE airport","Check-in facilities - self service kiosks",":",""
"2008","BOLOGNA/BORGO PANIGALE airport","Passenger gates","19",""
"2008","TREVISO/S.ANGELO airport","Airport runways",":",""
"2008","TREVISO/S.ANGELO airport","Check-in facilities",":",""
"2008","TREVISO/S.ANGELO airport","Check-in facilities - conventional desks",":",""
"2008","TREVISO/S.ANGELO airport","Check-in facilities - self service kiosks",":",""
"2008","TREVISO/S.ANGELO airport","Passenger gates",":",""
"2008","VERONA/VILLAFRANCA airport","Airport runways","1",""
"2008","VERONA/VILLAFRANCA airport","Check-in facilities","50",""
"2008","VERONA/VILLAFRANCA airport","Check-in facilities - conventional desks",":",""
"2008","VERONA/VILLAFRANCA airport","Check-in facilities - self service kiosks",":",""
"2008","VERONA/VILLAFRANCA airport","Passenger gates","13",""
"2008","VENEZIA/TESSERA airport","Airport runways","2",""
"2008","VENEZIA/TESSERA airport","Check-in facilities","60",""
"2008","VENEZIA/TESSERA airport","Check-in facilities - conventional desks",":",""
"2008","VENEZIA/TESSERA airport","Check-in facilities - self service kiosks",":",""
"2008","VENEZIA/TESSERA airport","Passenger gates","28",""
"2008","ROMA/CIAMPINO airport","Airport runways",":",""
"2008","ROMA/CIAMPINO airport","Check-in facilities",":",""
"2008","ROMA/CIAMPINO airport","Check-in facilities - conventional desks",":",""
"2008","ROMA/CIAMPINO airport","Check-in facilities - self service kiosks",":",""
"2008","ROMA/CIAMPINO airport","Passenger gates",":",""
"2008","ROMA/FIUMICINO airport","Airport runways","4",""
"2008","ROMA/FIUMICINO airport","Check-in facilities","359",""
"2008","ROMA/FIUMICINO airport","Check-in facilities - conventional desks",":",""
"2008","ROMA/FIUMICINO airport","Check-in facilities - self service kiosks",":",""
"2008","ROMA/FIUMICINO airport","Passenger gates","86",""
"2008","NAPOLI/CAPODICHINO airport","Airport runways","2",""
"2008","NAPOLI/CAPODICHINO airport","Check-in facilities","56",""
"2008","NAPOLI/CAPODICHINO airport","Check-in facilities - conventional desks",":",""
"2008","NAPOLI/CAPODICHINO airport","Check-in facilities - self service kiosks",":",""
"2008","NAPOLI/CAPODICHINO airport","Passenger gates","15",""
