geo,HDI_score_2017
Norway,0.954
Ireland,0.942
Germany,0.939
Sweden,0.937
Netherlands,0.933
Denmark,0.930
Finland,0.925
United Kingdom,0.920
Belgium,0.919
Austria,0.914
Luxembourg,0.909
Sloenia,0.902
Spain,0.893
France,0.891
Czechia,0.888
Malta,0.885
Estonia,0.882
Italy,0.880
Cyprus,0.873
Greece,0.870
Lithuania,0.869
Poland,0.865
Slovakia,0.857
Latvia,0.854
Portugal,0.847
Hungary,0.838
Croatia,0.837
Bulgaria,0.813
Romania,0.811
